;ESTADO_PROMESAS;MORA;VECES_EN_COBRANZAS;CUOTAS_ADEUDADAS_0;CUOTAS_ADEUDADAS_1;CUOTAS_ADEUDADAS_2;DIA_SEMANA_Friday;DIA_SEMANA_Monday;DIA_SEMANA_Thursday;DIA_SEMANA_Tuesday;DIA_SEMANA_Wednesday;PERIODO_DIA_mañana;PERIODO_DIA_tarde;PERIODO_DIA_noche;ANTIGUEDAD;DEUDAVENCIDA_ACTUAL;DEUDAVENCIDA_1MES;DEUDAVENCIDA_2MESES;DEUDA_TOTAL
0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1.0;0.36578063227379654;0.0;0.0;0.12529899132603783
1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0.25;1.0;0.0;0.0;0.8841149323904005
2;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0.25;0.5102832276761129;0.67996559742109;0.6201363111825872;0.554595092781446
3;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0.25;0.635825242426937;0.6896260663145762;0.7718247057666421;0.7380832287000152
4;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0.25;0.43790845783937904;0.0;0.0;0.4059657732591946
5;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0.25;0.5640788789771143;0.7121899644772981;0.0;0.9825855401690287
6;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0.25;0.5768845995121665;0.8476996694565417;0.8094119433781447;0.3323264382355495
7;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0.5;0.03825136335744772;0.0;0.0;0.6739493596012363
8;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0.5;0.552442862226411;0.6687138002178242;0.4405304929048476;0.5122510693332698
9;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0.25;0.6683072420282086;0.7760664225669132;0.0;0.28917845732917846
10;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0.75;0.2977618861660294;0.5465124644782712;0.0;0.1153239371755912
11;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0.75;0.3836886154754239;0.596646938567355;0.5696984149657986;0.2069375858555329
