NRO_VEC_COB;ESTADO_PDP;NRO_CUOTAS;MES;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;RESULTADOLLAMADA;DEUDA_TOTAL;ESTATUS;ACTIVACION;TIPOCONTACTO;MORA
<=10;0;>48;Abril;166.66;0.0;0.0;21/04/2014;11;PDP  Promesa De Pago;1022.21;BT;2010;CEF;1
<=10;0;<24, 48];Febrero;4876.55;0.0;0.0;11/02/2014;12;MCF  Msj Con Familiar;44653.9;BT;2013;CNE;0
<=10;0;>48;Marzo;360.36;362.7;278.19;12/03/2014;14;PAR  Promesa Parcial;8663.27;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;703.19;394.48;1106.08;24/03/2014;10;MCT  Msj Con Terceros;21590.1;BT;2013;CNE;1
<=10;0;<=24;Febrero;244.98;0.0;0.0;4/02/2014;9;TELF. NO CORRESPONDE;4134.46;BT;2013;CNE;1
<=10;0;>48;Marzo;479.95;479.95;0.0;27/03/2014;19;MCT  Msj Con Terceros;72890.6;BT;2013;CNE;1
<=10;0;<=24;Abril;513.82;1556.5;1556.5;28/04/2014;7;MCT  Msj Con Terceros;2865.68;BT;2013;CNE;1
<=10;0;<24, 48];Abril;28.41;0.0;0.0;1/04/2014;8;PDP  Promesa De Pago;15690.8;BT;2012;CEF;1
<=10;0;<24, 48];Marzo;451.11;328.89;53.64;4/03/2014;13;PDP  Promesa De Pago;7017.12;BT;2012;CEF;1
<=10;0;<=24;Marzo;835.87;835.87;0.0;14/03/2014;8;CAN  Cliente Cancelo;2311.76;BT;2013;CNE;0
>10;0;<24, 48];Febrero;115.8;113.33;0.0;5/02/2014;8;MCT  Msj Con Terceros;972.66;BT;2011;CNE;1
>10;0;<24, 48];Abril;183.4;175.59;175.59;16/04/2014;10;MCT  Msj Con Terceros;1535.02;BT;2011;CNE;1
<=10;0;<=24;Febrero;142.71;0.0;249.16;28/02/2014;9;MCF  Msj Con Familiar;2406.35;BT;2012;CNE;1
>10;0;<24, 48];Abril;2544.98;0.0;0.0;9/04/2014;11;MCT  Msj Con Terceros;44280.7;BT;2012;CNE;1
>10;0;<=24;Febrero;294.66;0.0;0.0;3/02/2014;13;TAT  Tratamiento al Titu;593.87;BT;2012;CEF;1
<=10;0;<=24;Abril;384.69;563.16;0.0;25/04/2014;7;MCT  Msj Con Terceros;547.5;BT;2013;CNE;0
>10;0;>48;Abril;1159.53;1160.24;1152.87;4/04/2014;9;TELF. NO CORRESPONDE;19586.5;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;323.51;7.25;323.9;3/02/2014;11;MCT  Msj Con Terceros;7123.42;BT;2013;CNE;1
>10;0;<24, 48];Marzo;517.19;1035.96;0.0;28/03/2014;16;MCF  Msj Con Familiar;8320.8;BT;2011;CNE;1
>10;0;<24, 48];Febrero;229.22;459.62;691.63;24/02/2014;15;TELF. NO CORRESPONDE;3850.56;BT;2012;CNE;1
<=10;0;<24, 48];Abril;127.91;0.0;0.0;11/04/2014;15;PDP  Promesa De Pago;2056.5;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;691.55;0.0;683.98;13/03/2014;20;TELF. NO CORRESPONDE;17927.6;BT;2013;CNE;1
>10;0;<24, 48];Abril;96.95;0.0;0.0;29/04/2014;11;MCF  Msj Con Familiar;2336.95;BT;2011;CNE;1
>10;0;<=24;Febrero;241.31;0.0;15.41;18/02/2014;16;PDP  Promesa De Pago;4553.73;BT;2012;CEF;1
<=10;0;>48;Febrero;519.25;529.85;0.0;27/02/2014;7;MCO  Msj Con Conyuge;4575.77;BT;2011;CEF;0
<=10;0;<24, 48];Abril;962.83;0.0;2856.29;30/04/2014;13;MCF  Msj Con Familiar;18684.4;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;444.91;0.0;0.0;10/03/2014;17;MCT  Msj Con Terceros;3184.66;BT;2013;CNE;0
<=10;0;<=24;Marzo;418.66;839.46;0.0;3/03/2014;14;TELF. NO CORRESPONDE;4048.98;BT;2013;CNE;0
<=10;1;<24, 48];Marzo;823.35;823.35;0.0;26/03/2014;15;MCF  Msj Con Familiar;7316.36;BT;2013;CNE;0
<=10;0;<24, 48];Abril;351.34;0.0;0.0;9/04/2014;18;MCT  Msj Con Terceros;10260.3;BT;2013;CNE;1
>10;0;<24, 48];Abril;446.44;0.0;446.84;23/04/2014;9;MCT  Msj Con Terceros;11079.2;BT;2012;CNE;1
<=10;0;>48;Marzo;670.48;0.0;0.0;5/03/2014;16;TELF. NO CORRESPONDE;18428.5;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;667.33;0.0;670.95;24/03/2014;11;TAT  Tratamiento al Titu;17821.5;BT;2013;CEF;1
<=10;0;<=24;Febrero;614.03;0.0;0.0;10/02/2014;20;PDP  Promesa De Pago;614.7;BT;2013;CEF;1
<=10;0;<=24;Marzo;203.81;309.64;506.96;17/03/2014;10;PAR  Promesa Parcial;2438.01;BT;2013;CEF;0
<=10;0;<24, 48];Marzo;411.08;412.81;412.35;4/03/2014;13;PDP  Promesa De Pago;8630.34;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;442.83;132.28;127.53;6/03/2014;11;MCF  Msj Con Familiar;20188.5;BT;2013;CNE;0
>10;0;<24, 48];Febrero;366.64;366.16;362.61;7/02/2014;8;TELF. NO CORRESPONDE;1042.37;BT;2011;CNE;1
<=10;0;<=24;Abril;2091.06;0.0;0.0;22/04/2014;18;TAT  Tratamiento al Titu;15564.3;BT;2013;CEF;0
<=10;0;>48;Marzo;1108.07;1100.05;1101.16;4/03/2014;7;PDP  Promesa De Pago;26913.6;BT;2012;CEF;1
>10;0;<24, 48];Marzo;239.93;0.0;0.0;4/03/2014;11;PDP  Promesa De Pago;4340.68;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;873.5;0.0;0.0;28/02/2014;10;TELF. NO CORRESPONDE;10901.1;BT;2012;CNE;0
>10;0;<24, 48];Marzo;362.34;363.43;0.0;18/03/2014;14;MCT  Msj Con Terceros;7633.76;BT;2012;CNE;1
>10;1;<24, 48];Abril;1760.06;0.0;0.0;2/04/2014;14;MCT  Msj Con Terceros;13930.9;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;115.46;0.0;0.0;4/02/2014;13;TELF. NO CORRESPONDE;5902.43;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;771.69;774.72;775.8;19/02/2014;16;MCF  Msj Con Familiar;5715.99;BT;2012;CNE;0
<=10;0;<24, 48];Abril;121.03;0.0;0.0;4/04/2014;13;TELF. NO CORRESPONDE;14114.2;BT;2014;CNE;1
<=10;1;<24, 48];Abril;600.56;599.21;0.0;14/04/2014;17;MCF  Msj Con Familiar;3720.3;BT;2013;CNE;0
<=10;1;<24, 48];Febrero;772.53;773.64;1.65;28/02/2014;11;PDP  Promesa De Pago;24814.0;BT;2013;CEF;1
<=10;0;>48;Febrero;586.75;1176.8;1771.29;19/02/2014;8;TELF. NO CORRESPONDE;6494.08;BT;2010;CNE;1
<=10;0;<=24;Abril;1287.41;0.0;3020.63;9/04/2014;9;PAR  Promesa Parcial;25098.8;BT;2014;CEF;1
<=10;0;<24, 48];Marzo;1395.63;1395.63;0.0;12/03/2014;10;MCT  Msj Con Terceros;18791.3;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;362.35;595.01;829.01;17/03/2014;18;PAR  Promesa Parcial;5014.83;BT;2013;CEF;0
>10;0;>48;Marzo;112.5;94.87;404.57;13/03/2014;10;MCF  Msj Con Familiar;12455.9;BT;2012;CNE;1
<=10;0;<24, 48];Marzo;389.21;841.05;0.0;20/03/2014;13;PDP  Promesa De Pago;9979.03;BT;2012;CEF;1
<=10;0;<24, 48];Abril;495.83;161.24;159.97;1/04/2014;16;PDP  Promesa De Pago;6501.39;BT;2012;CEF;0
<=10;0;<24, 48];Abril;699.18;0.0;0.0;11/04/2014;20;TAT  Tratamiento al Titu;9043.0;BT;2013;CEF;0
<=10;0;<=24;Abril;327.64;14.38;292.67;25/04/2014;7;MCT  Msj Con Terceros;5597.8;BT;2013;CNE;1
<=10;1;>48;Marzo;132.53;0.0;25.2;26/03/2014;10;PDP  Promesa De Pago;4679.68;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;451.81;449.29;449.29;19/03/2014;20;PAR  Promesa Parcial;3900.8;BT;2012;CEF;0
<=10;0;<24, 48];Abril;422.27;426.56;427.94;23/04/2014;19;TELF. NO CORRESPONDE;9239.02;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;251.82;0.0;251.41;18/02/2014;17;MCT  Msj Con Terceros;4887.06;BT;2013;CNE;1
>10;0;<24, 48];Abril;593.78;613.46;596.71;8/04/2014;11;MCT  Msj Con Terceros;4136.02;BT;2010;CNE;1
>10;0;<24, 48];Febrero;282.25;475.79;0.0;13/02/2014;9;TELF. NO CORRESPONDE;6383.62;BT;2011;CNE;1
<=10;0;<24, 48];Abril;251.67;0.0;759.96;8/04/2014;20;MCF  Msj Con Familiar;2870.34;BT;2011;CNE;1
<=10;0;<24, 48];Abril;322.0;0.0;0.0;3/04/2014;11;TELF. NO CORRESPONDE;6003.25;BT;2012;CNE;1
<=10;0;>48;Febrero;1799.99;0.0;0.0;12/02/2014;18;MCT  Msj Con Terceros;18034.1;BT;2013;CNE;0
<=10;0;<24, 48];Marzo;103.7;0.0;0.0;4/03/2014;9;PDP  Promesa De Pago;20707.4;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;63.43;0.0;0.0;3/02/2014;16;MCT  Msj Con Terceros;8322.44;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;405.26;422.27;426.56;13/03/2014;10;TELF. NO CORRESPONDE;9544.58;BT;2013;CNE;1
>10;0;>48;Abril;618.77;0.0;0.0;7/04/2014;7;TELF. NO CORRESPONDE;15023.2;BT;2010;CNE;1
<=10;0;<24, 48];Marzo;1698.37;1698.37;846.05;19/03/2014;14;MCT  Msj Con Terceros;21930.1;BT;2013;CNE;1
>10;0;<24, 48];Marzo;359.5;0.0;0.0;4/03/2014;13;MCT  Msj Con Terceros;4182.31;BT;2012;CNE;1
<=10;0;<=24;Abril;412.51;412.51;1222.56;10/04/2014;14;MCT  Msj Con Terceros;2339.71;BT;2013;CNE;1
>10;0;<24, 48];Marzo;443.78;444.27;0.0;11/03/2014;16;MCT  Msj Con Terceros;4544.17;BT;2011;CNE;1
>10;0;>48;Marzo;303.77;608.08;0.0;27/03/2014;7;CAN  Cliente Cancelo;5844.81;BT;2012;CNE;1
<=10;0;>48;Febrero;566.81;1146.83;0.0;13/02/2014;11;CIH  Generar Cita;18131.2;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;414.48;0.0;0.0;17/03/2014;7;PDP  Promesa De Pago;1615.13;BT;2011;CEF;1
<=10;0;<24, 48];Marzo;760.43;0.0;760.64;7/03/2014;11;PDP  Promesa De Pago;7132.39;BT;2011;CEF;1
<=10;0;<24, 48];Marzo;476.23;717.68;0.0;28/03/2014;13;MCF  Msj Con Familiar;2841.04;BT;2012;CNE;0
<=10;0;<24, 48];Marzo;256.92;248.27;241.69;26/03/2014;8;TELF. NO CORRESPONDE;5682.09;BT;2014;CNE;1
>10;0;<24, 48];Abril;410.2;167.14;579.99;9/04/2014;20;MCC  Msj Con Comp De Trab;3262.59;BT;2012;CNE;0
<=10;0;<24, 48];Marzo;413.87;830.12;1250.94;17/03/2014;14;MCT  Msj Con Terceros;6437.51;BT;2012;CNE;1
<=10;0;<24, 48];Abril;604.61;0.0;0.0;7/04/2014;8;MCT  Msj Con Terceros;12051.6;BT;2012;CNE;1
>10;0;<24, 48];Febrero;1807.03;1804.45;1801.55;4/02/2014;19;CAN  Cliente Cancelo;35031.1;BT;2011;CNE;1
<=10;0;<24, 48];Abril;607.22;606.28;45.87;9/04/2014;15;PDP  Promesa De Pago;15852.0;BT;2012;CEF;1
<=10;1;<24, 48];Marzo;262.15;262.15;0.0;27/03/2014;11;PDP  Promesa De Pago;5052.43;BT;2013;CEF;1
<=10;1;<24, 48];Marzo;941.81;729.8;0.0;3/03/2014;9;TELF. NO CORRESPONDE;22691.3;BT;2013;CNE;0
<=10;0;<=24;Marzo;231.88;474.75;0.0;31/03/2014;8;PAR  Promesa Parcial;2345.55;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;384.26;0.0;0.0;20/02/2014;10;MCF  Msj Con Familiar;2725.16;BT;2013;CNE;0
>10;0;<24, 48];Marzo;221.51;49.4;22.25;28/03/2014;12;MCT  Msj Con Terceros;3292.7;BT;2012;CNE;1
>10;0;<24, 48];Marzo;628.79;840.61;0.0;4/03/2014;12;TAT  Tratamiento al Titu;1190.85;BT;2011;CEF;0
<=10;0;<24, 48];Marzo;760.68;798.64;798.78;18/03/2014;12;MCF  Msj Con Familiar;22532.5;BT;2013;CNE;1
<=10;0;<=24;Abril;230.08;0.0;0.0;15/04/2014;15;TELF. NO CORRESPONDE;2111.37;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;337.93;0.0;0.0;4/02/2014;7;MCF  Msj Con Familiar;23457.3;BT;2012;CNE;1
>10;0;>48;Febrero;113.7;244.24;59.57;21/02/2014;7;MCF  Msj Con Familiar;2042.03;BT;2010;CNE;1
<=10;0;<24, 48];Febrero;2161.69;0.0;0.0;19/02/2014;8;MCF  Msj Con Familiar;13508.1;BT;2012;CNE;0
>10;0;<24, 48];Febrero;112.86;237.76;0.0;12/02/2014;9;MCT  Msj Con Terceros;3909.59;BT;2012;CNE;1
>10;0;<24, 48];Marzo;298.47;298.94;0.0;5/03/2014;19;TELF. NO CORRESPONDE;3898.6;BT;2012;CNE;1
>10;0;<24, 48];Febrero;530.75;531.13;0.0;4/02/2014;12;MCT  Msj Con Terceros;5441.87;BT;2011;CNE;1
<=10;0;>48;Abril;459.79;459.79;0.0;30/04/2014;19;MCT  Msj Con Terceros;15348.1;BT;2013;CNE;1
>10;0;<24, 48];Marzo;621.9;622.51;0.0;11/03/2014;16;MCT  Msj Con Terceros;11031.0;BT;2011;CNE;1
<=10;0;<24, 48];Marzo;1698.37;1698.37;846.05;18/03/2014;15;MCT  Msj Con Terceros;21930.1;BT;2013;CNE;1
<=10;0;>48;Abril;347.13;396.23;0.0;21/04/2014;15;TELF. NO CORRESPONDE;1860.96;BT;2010;CNE;1
>10;0;<=24;Febrero;562.33;0.0;0.0;3/02/2014;16;MCF  Msj Con Familiar;1135.67;BT;2012;CNE;1
>10;0;<24, 48];Abril;2026.76;0.0;3053.31;4/04/2014;16;MCT  Msj Con Terceros;23668.0;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;3335.79;0.0;0.0;17/02/2014;13;MCT  Msj Con Terceros;20696.3;BT;2012;CNE;0
<=10;1;<=24;Febrero;309.23;0.0;311.3;13/02/2014;18;PDP  Promesa De Pago;2580.83;BT;2013;CEF;1
<=10;0;<=24;Marzo;906.02;906.02;0.0;28/03/2014;15;MCT  Msj Con Terceros;4083.99;BT;2013;CNE;0
<=10;0;<24, 48];Marzo;625.57;0.0;625.09;11/03/2014;14;MCT  Msj Con Terceros;18267.5;BT;2013;CNE;1
<=10;0;>48;Abril;683.42;0.0;0.0;7/04/2014;9;MCF  Msj Con Familiar;16658.1;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;666.41;689.48;1.25;10/02/2014;17;CAN  Cliente Cancelo;18180.1;BT;2012;CNE;1
<=10;0;>48;Marzo;797.61;799.9;798.4;10/03/2014;8;MCT  Msj Con Terceros;23021.1;BT;2013;CNE;1
>10;0;<24, 48];Abril;1027.42;1686.45;0.0;9/04/2014;14;PAR  Promesa Parcial;12177.0;BT;2011;CEF;0
<=10;0;<24, 48];Marzo;63.99;322.13;0.0;5/03/2014;9;PDP  Promesa De Pago;9012.4;BT;2013;CEF;1
<=10;0;>48;Marzo;166.57;0.0;0.0;12/03/2014;7;PDP  Promesa De Pago;7916.38;BT;2012;CEF;1
>10;0;>48;Abril;2004.87;0.0;0.0;3/04/2014;20;MCT  Msj Con Terceros;27132.0;BT;2012;CNE;0
>10;0;>48;Febrero;908.81;0.0;0.0;14/02/2014;7;TAT sin contacto con Titular;13138.4;BT;2011;CNE;1
<=10;0;<=24;Febrero;299.8;0.0;0.0;21/02/2014;15;MCT  Msj Con Terceros;1959.13;BT;2013;CNE;1
>10;0;<24, 48];Febrero;1025.4;1008.33;2046.9;25/02/2014;15;TAT  Tratamiento al Titu;19176.0;BT;2012;CEF;1
>10;0;<24, 48];Marzo;46.85;74.26;0.0;28/03/2014;13;MCT  Msj Con Terceros;2233.53;BT;2012;CNE;1
<=10;0;<24, 48];Abril;93.19;49.5;211.24;24/04/2014;9;MCT  Msj Con Terceros;3807.13;BT;2013;CNE;1
>10;0;<24, 48];Marzo;743.98;0.0;0.0;25/03/2014;12;PDP  Promesa De Pago;8405.03;BT;2012;CEF;1
<=10;0;<=24;Febrero;397.55;790.47;790.47;18/02/2014;8;MCF  Msj Con Familiar;5348.76;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;170.68;125.36;132.07;11/02/2014;17;MCT  Msj Con Terceros;616.89;BT;2012;CNE;0
<=10;0;<24, 48];Abril;445.05;0.0;0.0;28/04/2014;13;TAT  Tratamiento al Titu;8535.69;BT;2013;CEF;1
>10;0;>48;Marzo;886.5;0.0;0.0;4/03/2014;10;MCT  Msj Con Terceros;18858.6;BT;2012;CNE;1
<=10;0;<24, 48];Abril;168.11;0.0;884.8;22/04/2014;11;MCT  Msj Con Terceros;9794.99;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;700.54;223.18;0.0;11/03/2014;10;MCF  Msj Con Familiar;10260.4;BT;2013;CNE;1
>10;0;<=24;Febrero;293.15;5.33;474.2;6/02/2014;11;TAT  Tratamiento al Titu;1026.03;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;285.3;285.6;283.33;4/02/2014;8;MCF  Msj Con Familiar;4919.66;BT;2013;CNE;1
<=10;0;<=24;Abril;249.91;0.0;257.51;4/04/2014;9;PDP  Promesa De Pago;2625.9;BT;2014;CEF;1
<=10;0;<24, 48];Marzo;581.72;512.31;0.0;10/03/2014;17;MCT  Msj Con Terceros;4138.42;BT;2012;CNE;0
<=10;0;<24, 48];Abril;523.71;1049.84;1580.88;25/04/2014;11;MCF  Msj Con Familiar;10557.9;BT;2012;CNE;1
<=10;0;<24, 48];Abril;512.1;0.0;0.0;25/04/2014;8;MCF  Msj Con Familiar;12794.1;BT;2013;CNE;1
>10;0;<24, 48];Marzo;413.92;0.58;413.51;4/03/2014;13;MCC  Msj Con Comp De Trab;3268.84;BT;2011;CNE;1
<=10;0;>48;Febrero;368.3;0.0;1127.48;6/02/2014;9;TELF. NO CORRESPONDE;3955.51;BT;2013;CNE;1
<=10;0;<=24;Febrero;816.32;0.0;0.0;6/02/2014;14;TAT  Tratamiento al Titu;817.21;BT;2013;CEF;1
<=10;0;<=24;Marzo;549.69;262.05;9.27;28/03/2014;18;TAT  Tratamiento al Titu;14123.5;BT;2013;CEF;1
>10;0;<24, 48];Febrero;911.38;0.0;0.0;13/02/2014;9;MCF  Msj Con Familiar;7418.83;BT;2012;CNE;0
<=10;0;<24, 48];Marzo;153.08;0.0;0.0;26/03/2014;14;TELF. NO CORRESPONDE;5811.61;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;320.42;323.09;516.43;20/02/2014;13;MCT  Msj Con Terceros;14678.5;BT;2013;CNE;1
<=10;0;<=24;Abril;112.36;0.0;0.0;16/04/2014;15;TELF. NO CORRESPONDE;609.34;BT;2014;CNE;1
<=10;0;>48;Abril;98.07;0.0;0.0;3/04/2014;16;PDP  Promesa De Pago;605.82;BT;2010;CEF;1
<=10;0;<24, 48];Marzo;96.15;0.0;0.0;4/03/2014;12;PDP  Promesa De Pago;3029.89;BT;2013;CEF;1
<=10;0;<=24;Abril;318.72;0.0;273.51;14/04/2014;8;MCF  Msj Con Familiar;3590.75;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;1647.52;0.0;0.0;18/02/2014;12;TAT  Tratamiento al Titu;13599.0;BT;2011;CEF;0
<=10;0;<24, 48];Marzo;104.51;89.41;80.67;4/03/2014;8;MCT  Msj Con Terceros;9142.86;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;813.11;0.0;0.0;12/03/2014;9;TELF. NO CORRESPONDE;11155.9;BT;2012;CNE;1
<=10;0;<24, 48];Abril;583.79;0.0;0.0;3/04/2014;9;MCT  Msj Con Terceros;15602.4;BT;2013;CNE;1
<=10;0;>48;Marzo;310.46;311.59;0.0;6/03/2014;14;PDP  Promesa De Pago;9887.34;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;831.79;831.79;0.0;6/03/2014;20;MCF  Msj Con Familiar;5487.44;BT;2013;CNE;0
<=10;0;<24, 48];Abril;497.22;0.0;0.0;14/04/2014;19;TELF. NO CORRESPONDE;11973.2;BT;2013;CNE;1
<=10;0;<=24;Febrero;770.18;0.0;0.0;6/02/2014;9;MCT  Msj Con Terceros;1317.27;BT;2013;CNE;0
>10;0;<24, 48];Abril;151.71;148.65;167.86;3/04/2014;14;MCF  Msj Con Familiar;2994.96;BT;2011;CNE;1
<=10;0;<=24;Marzo;159.46;0.0;0.0;13/03/2014;17;PDP  Promesa De Pago;2191.14;BT;2013;CEF;1
<=10;0;<24, 48];Abril;448.54;448.31;445.5;4/04/2014;16;MCT  Msj Con Terceros;4647.65;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;391.4;224.12;464.46;3/02/2014;8;MCT  Msj Con Terceros;8690.35;BT;2012;CNE;1
<=10;0;<24, 48];Marzo;722.84;0.0;0.0;4/03/2014;9;PDP  Promesa De Pago;20521.7;BT;2013;CEF;1
>10;0;<24, 48];Marzo;170.98;171.79;0.0;26/03/2014;8;MCT  Msj Con Terceros;5958.15;BT;2011;CNE;1
<=10;0;<24, 48];Marzo;280.08;281.89;277.83;13/03/2014;15;TELF. NO CORRESPONDE;6986.26;BT;2013;CNE;1
<=10;0;<24, 48];Abril;587.0;803.55;0.0;4/04/2014;15;MCF  Msj Con Familiar;3775.76;BT;2012;CNE;0
<=10;0;>48;Febrero;819.77;845.2;0.0;26/02/2014;14;TAT  Tratamiento al Titu;21800.5;BT;2012;CEF;1
<=10;1;<24, 48];Abril;61.51;0.0;0.0;21/04/2014;10;REC  Cliente con Reclamo;3937.57;BT;2012;CEF;1
<=10;0;>48;Abril;753.13;756.93;0.0;10/04/2014;8;TELF. NO CORRESPONDE;23039.3;BT;2013;CNE;1
<=10;0;<=24;Febrero;216.39;0.0;217.4;19/02/2014;12;PDP  Promesa De Pago;1399.89;BT;2013;CEF;1
>10;0;<24, 48];Febrero;455.44;0.0;463.79;24/02/2014;7;MCF  Msj Con Familiar;2385.11;BT;2010;CNE;1
<=10;0;<24, 48];Abril;426.47;448.6;431.79;14/04/2014;8;MCT  Msj Con Terceros;11300.2;BT;2013;CNE;1
<=10;0;>48;Marzo;23.1;0.0;41.68;19/03/2014;13;TELF. NO CORRESPONDE;19141.5;BT;2013;CNE;1
