NRO_VEC_COB;ESTADO_PDP;NRO_CUOTAS;MES;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;RESULTADOLLAMADA;DEUDA_TOTAL;ESTATUS;ACTIVACION;TIPOCONTACTO;MORA
>10;0;<24, 48];Febrero;326.65;0.0;0.0;21/02/2014;15;MCF  Msj Con Familiar;1357.68;BT;2011;CNE;1
>10;0;<24, 48];Marzo;255.38;255.97;0.0;26/03/2014;17;TAT  Tratamiento al Titu;4431.33;BT;2013;CEF;1
>10;0;<24, 48];Abril;244.6;0.0;0.0;8/04/2014;7;TELF. NO CORRESPONDE;2101.38;BT;2011;CNE;1
<=10;0;<24, 48];Marzo;155.15;354.8;555.69;10/03/2014;12;MCF  Msj Con Familiar;3676.48;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;453.49;0.0;355.06;5/03/2014;13;MCT  Msj Con Terceros;2877.0;BT;2012;CNE;0
>10;0;<24, 48];Marzo;379.42;1283.5;0.0;20/03/2014;11;MCT  Msj Con Terceros;6788.37;BT;2011;CNE;1
<=10;0;>48;Abril;170.91;2671.24;0.0;28/04/2014;16;PDP  Promesa De Pago;58099.7;BT;2013;CEF;1
<=10;0;>48;Marzo;320.22;0.0;0.0;4/03/2014;19;PDP  Promesa De Pago;8003.85;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;374.65;0.0;0.0;4/03/2014;13;PDP  Promesa De Pago;11189.6;BT;2012;CEF;1
<=10;0;<24, 48];Marzo;501.94;0.0;0.0;11/03/2014;7;PDP  Promesa De Pago;14395.9;BT;2012;CEF;1
<=10;0;>48;Marzo;239.9;361.69;0.0;25/03/2014;11;MCT  Msj Con Terceros;3338.83;BT;2013;CNE;1
>10;0;<24, 48];Marzo;532.93;0.0;0.0;20/03/2014;9;MCT  Msj Con Terceros;10770.5;BT;2012;CNE;1
<=10;0;>48;Marzo;1312.54;1976.96;0.0;25/03/2014;20;MCT  Msj Con Terceros;19876.8;BT;2012;CNE;0
<=10;0;<=24;Febrero;578.78;580.61;1225.73;3/02/2014;10;TAT  Tratamiento al Titu;1753.16;BT;2013;CEF;1
<=10;0;<=24;Abril;405.99;544.17;0.0;4/04/2014;18;MCT  Msj Con Terceros;2034.28;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;455.71;0.0;0.0;5/02/2014;11;MCF  Msj Con Familiar;8043.44;BT;2012;CNE;1
<=10;1;<24, 48];Febrero;656.61;988.54;0.0;18/02/2014;11;PDP  Promesa De Pago;6381.66;BT;2012;CEF;0
<=10;0;<24, 48];Marzo;854.87;0.0;0.0;17/03/2014;7;MCT  Msj Con Terceros;75289.9;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;804.68;1064.12;0.0;3/03/2014;20;TELF. NO CORRESPONDE;20822.9;BT;2013;CNE;1
<=10;0;>48;Marzo;104.41;0.0;0.0;6/03/2014;12;MCT  Msj Con Terceros;75499.4;BT;2012;CNE;1
<=10;1;<24, 48];Febrero;375.73;372.82;750.86;28/02/2014;15;MCF  Msj Con Familiar;8617.33;BT;2013;CNE;1
<=10;0;<=24;Abril;384.69;563.16;0.0;11/04/2014;16;MCT  Msj Con Terceros;547.5;BT;2013;CNE;0
<=10;0;>48;Abril;2932.09;0.0;8791.91;24/04/2014;8;MCF  Msj Con Familiar;66549.5;BT;2012;CNE;1
<=10;0;>48;Abril;100.41;0.0;0.0;15/04/2014;15;TELF. NO CORRESPONDE;10508.4;BT;2012;CNE;1
